date,open,high,low,close,earn_rate,,,,,
 2018/02/12,905.79,941.33,899.3,928.66,0.0252,,,,,
 2018/02/13,930.77,946.4,914.11,924.4,-0.0068,,,,,
 2018/02/14,921.85,929.23,902.62,914.2,-0.0083,,,,,
 2018/02/22,925.34,944.16,915.6,935.2,0.0107,,,,,
 2018/02/23,938.44,944.62,921.58,930.75,-0.0082,,,,,
 2018/02/26,938.28,957.75,923.93,949.85,0.0123,,,,,
 2018/02/27,950.13,987.32,940.75,972.18,0.0232,,,,,
 2018/02/28,965.76,994.34,952.73,981.55,0.0163,,,,,
 2018/03/01,973.52,1002.94,966.5,993.99,0.021,,,,,
 2018/03/02,985.65,1008.3,973.73,981.58,-0.0041,,,,,
 2018/03/05,984.88,996.75,969,988.39,0.0036,,,date,rate,close
 2018/03/06,989.56,1020.88,974.01,994.71,0.0052,,,2018/3/30,0,1012.04
 2018/03/07,995.42,1006.83,977.32,988.07,-0.0074,,,2018/6/29,-0.194280858,815.42
 2018/03/08,987.27,1000.16,975.67,988.58,0.0013,,,2018/9/28,-0.110728214,725.13
 2018/03/09,989.09,1037.12,980.85,1027.45,0.0388,,,2018/12/31,-0.106863597,647.64
 2018/03/12,1030.57,1064.63,1020.86,1045.99,0.015,,,2019/3/29,0.352217281,875.75
 2018/03/13,1043.32,1058.66,1025.1,1034.08,-0.0089,,,2019/6/28,-0.127433628,764.15
 2018/03/14,1030.61,1038.53,1008.57,1012.28,-0.0178,,,2019/9/30,0.024118301,782.58
 2018/03/15,1008.12,1023.64,988.6,1014.71,0.0065,,,2019/12/31,0.140292366,892.37
 2018/03/16,1013.5,1031,996.37,1005.47,-0.0079,,,2020/3/31,-0.056568464,841.89
 2018/03/19,1009.07,1032.82,998.43,1018.31,0.0092,,,2020/6/30,0.188718241,1000.77
 2018/03/20,1006.15,1023.63,988.78,1013.25,0.0071,,,2020/9/30,-0.017866243,982.89
 2018/03/21,1013.13,1028.39,986.66,993.04,-0.0198,,,2020/12/31,-0.092207673,892.26
 2018/03/22,992.39,1009.98,977.73,991.99,-0.0004,,,2021/3/31,-0.092215274,809.98
 2018/03/23,959.72,982.69,917.35,939.35,-0.0212,,,2021/6/30,0.037988592,840.75
 2018/03/26,925.87,960.77,906.43,951.28,0.0274,,,2021/9/30,-0.121724651,738.41
 2018/03/27,962.51,997.09,957.64,988.46,0.027,,,2021/12/31,0.162091521,858.1
 2018/03/28,973.46,999.17,962.42,979.99,0.0067,,,2022/3/31,-0.14963291,729.7
 2018/03/29,982.57,1002.41,969.27,989.32,0.0069,,,2022/6/30,-0.019994518,715.11
 2018/03/30,994.87,1024.08,986.03,1012.04,0.0173,,,2022/9/30,-0.147208122,609.84
 2018/04/02,1017.47,1032.28,994.74,1007.01,-0.0103,,,2022/12/30,0.108913813,676.26
 2018/04/03,991.81,1008.9,971.11,987.15,-0.0047,,,2023/3/31,0.378552628,932.26
 2018/04/04,992.64,1002.89,963.13,971.15,-0.0216,,,2023/6/30,0.053879819,982.49
 2018/04/09,971.1,989.75,951.58,971.89,0.0008,,,2023/9/28,-0.162597075,822.74
 2018/04/10,974.65,987.17,950.42,972.93,-0.0018,,,2023/12/29,-0.029462528,798.5
 2018/04/11,974.01,995.37,962.22,976.23,0.0023,,,,,
 2018/04/12,974.37,993.03,966.36,977.91,0.0036,,,,,
 2018/04/13,984.31,998.12,967.54,979.05,-0.0053,,,,,
 2018/04/16,980.52,1009.17,960.85,988.56,0.0082,,,,,
 2018/04/17,991.35,1002.22,950.1,957.03,-0.0346,,,,,
 2018/04/18,963.29,984.97,933.52,970.9,0.0079,,,,,
 2018/04/19,969.65,980.59,953.13,963.2,-0.0067,,,,,
 2018/04/20,961.35,979.31,933.82,946.22,-0.0157,,,,,
 2018/04/23,946.49,962.73,911.25,931.99,-0.0153,,,,,
 2018/04/24,933.16,968.31,926.44,962.04,0.0309,,,,,
 2018/04/25,958.95,979,947.82,961.16,0.0023,,,,,
 2018/04/26,964.52,976.44,936.29,942.46,-0.0229,,,,,
 2018/04/27,945.34,964.35,917.61,943.24,-0.0022,,,,,
 2018/05/02,943.56,958.05,914.97,931.52,-0.0128,,,,,
 2018/05/03,932.26,953.48,913.98,947.19,0.016,,,,,
 2018/05/04,944.96,956.47,926.04,931.96,-0.0138,,,,,
 2018/05/07,935.71,957.11,929.11,949.62,0.0149,,,,,
 2018/05/08,950.67,960.41,939.06,952.15,0.0016,,,,,
 2018/05/09,952.07,961.32,934.25,943.74,-0.0087,,,,,
 2018/05/10,944.58,959.87,928.93,949.06,0.0047,,,,,
 2018/05/11,949.72,958.62,930.92,935.73,-0.0147,,,,,
 2018/05/14,933.43,944.68,905.68,916.01,-0.0187,,,,,
 2018/05/15,919.35,944.04,909.74,938.1,0.0204,,,,,
 2018/05/16,934.17,947.95,920.34,932.23,-0.0021,,,,,
 2018/05/17,932.02,946.83,919.05,927.85,-0.0045,,,,,
 2018/05/18,929.06,942.55,917.91,934.25,0.0056,,,,,
 2018/05/21,939.75,953.46,930.92,944.35,0.0049,,,,,
 2018/05/22,945.08,954.26,928.17,940.84,-0.0045,,,,,
 2018/05/23,938.27,945.42,918.42,923.72,-0.0155,,,,,
 2018/05/24,920.96,932.58,908.87,916.73,-0.0046,,,,,
 2018/05/25,917.34,925.87,895.71,906.33,-0.012,,,,,
 2018/05/28,904.68,916.05,880.85,891.6,-0.0145,,,,,
 2018/05/29,891.66,906.75,879.74,890.5,-0.0013,,,,,
 2018/05/30,876.32,894.32,850.88,862.41,-0.0159,,,,,
 2018/05/31,868.93,883.22,849.76,870.49,0.0018,,,,,
 2018/06/01,865.29,879.19,851.65,864.36,-0.0011,,,,,
 2018/06/04,865.19,875.15,844.93,857.71,-0.0086,,,,,
 2018/06/05,857.34,880.17,850.32,877.1,0.023,,,,,
 2018/06/06,875.67,885.78,861.6,873.64,-0.0023,,,,,
 2018/06/07,875.42,890.39,859.92,872.5,-0.0033,,,,,
 2018/06/08,869.08,875.62,849.43,861.3,-0.009,,,,,
 2018/06/11,860.09,870.54,844.98,852.74,-0.0085,,,,,
 2018/06/12,855.04,872.48,838.04,865.83,0.0126,,,,,
 2018/06/13,864.3,870.64,844.84,850.64,-0.0158,,,,,
 2018/06/14,847.73,862.1,833.01,843.97,-0.0044,,,,,
 2018/06/15,844.4,850.89,809.91,820.4,-0.0284,,,,,
 2018/06/19,804.53,818.94,761.7,776.08,-0.0354,,,,,
 2018/06/20,772.18,797.09,762.9,786.94,0.0191,,,,,
 2018/06/21,786.49,796.29,760.3,766.72,-0.0251,,,,,
 2018/06/22,759.24,792.39,750.37,785.5,0.0346,,,,,
 2018/06/25,792.42,798.61,771.41,776.32,-0.0203,,,,,
 2018/06/26,764.87,797.57,756.86,786.77,0.0286,,,,,
 2018/06/27,785.71,794.91,770.03,780.84,-0.0062,,,,,
 2018/06/28,780.88,802.45,772.55,782.19,0.0017,,,,,
 2018/06/29,785.55,819.89,780.9,815.42,0.038,,,,,
 2018/07/02,815.41,824.69,791.73,803.49,-0.0146,,,,,
 2018/07/03,803.77,823.55,782.24,813.5,0.0121,,,,,
 2018/07/04,809.09,818.51,787.9,795.77,-0.0165,,,,,
 2018/07/05,794.04,807.49,775.81,781.43,-0.0159,,,,,
 2018/07/06,780.14,800.15,761.08,779.84,-0.0004,,,,,
 2018/07/09,781.79,801.81,777.21,798.14,0.0209,,,,,
 2018/07/10,797.93,807.29,787.9,800.15,0.0028,,,,,
 2018/07/11,785.54,793.87,760.36,780.22,-0.0068,,,,,
 2018/07/12,780.59,815.67,776.41,802.91,0.0286,,,,,
 2018/07/13,800.74,815.9,790.4,805.51,0.006,,,,,
 2018/07/16,805.03,825.14,792.45,811.45,0.008,,,,,
 2018/07/17,812.08,819.32,796.32,811.17,-0.0011,,,,,
 2018/07/18,811.96,825.53,802.19,808.97,-0.0037,,,,,
 2018/07/19,806.59,819.63,789.23,802.43,-0.0052,,,,,
 2018/07/20,801.08,821.67,789.26,812.39,0.0141,,,,,
 2018/07/23,813.37,827.79,800.94,818.23,0.006,,,,,
 2018/07/24,818.04,833.92,808.68,824.95,0.0084,,,,,
 2018/07/25,825.68,845.32,818.44,830.26,0.0055,,,,,
 2018/07/26,830.22,837.57,809.27,819.24,-0.0132,,,,,
 2018/07/27,816.63,824.93,801.71,809.3,-0.009,,,,,
 2018/07/30,810.68,817.17,780.43,787.29,-0.0289,,,,,
 2018/07/31,789.58,805.32,779.94,795.06,0.0069,,,,,
 2018/08/01,798.16,811.43,778.92,788.43,-0.0122,,,,,
 2018/08/02,785.98,792.36,739.28,759.54,-0.0336,,,,,
 2018/08/03,758.03,767.58,743.23,748.07,-0.0131,,,,,
 2018/08/06,745.47,755.72,719.02,726.71,-0.0252,,,,,
 2018/08/07,730.68,752.93,725.41,748.46,0.0243,,,,,
 2018/08/08,746.86,758.3,733.38,739.59,-0.0097,,,,,
 2018/08/09,739.58,773.16,735.18,760.93,0.0289,,,,,
 2018/08/10,761.92,774.82,754.48,769.32,0.0097,,,,,
 2018/08/13,754.77,777.34,746.1,771.14,0.0217,,,,,
 2018/08/14,768.54,774.46,754.34,760.29,-0.0107,,,,,
 2018/08/15,762.15,765.1,735.79,741.42,-0.0272,,,,,
 2018/08/16,731.03,752.84,721.73,738.41,0.0101,,,,,
 2018/08/17,747.85,757.81,727.65,736.62,-0.015,,,,,
 2018/08/20,737.03,756.77,722.78,749.08,0.0163,,,,,
 2018/08/21,746.55,762.69,738.97,753.73,0.0096,,,,,
 2018/08/22,751.2,757.4,734.95,739.39,-0.0157,,,,,
 2018/08/23,739.83,755.59,734.97,746.92,0.0096,,,,,
 2018/08/24,746.09,756.72,738.39,745.68,-0.0005,,,,,
 2018/08/27,748.16,774.02,744.85,769.01,0.0279,,,,,
 2018/08/28,767.95,778.01,756.23,766.53,-0.0018,,,,,
 2018/08/29,764.94,776.97,745.44,759.36,-0.0073,,,,,
 2018/08/30,758.87,769.82,739.3,746.32,-0.0165,,,,,
 2018/08/31,739.95,749.67,724.36,730.35,-0.013,,,,,
 2018/09/03,727.93,745.67,713.22,737.26,0.0128,,,,,
 2018/09/04,734.66,753.92,731.32,747.49,0.0175,,,,,
 2018/09/05,746.04,756.41,733.25,737.56,-0.0114,,,,,
 2018/09/06,735.51,752.44,724.63,736.58,0.0015,,,,,
 2018/09/07,738.18,753.24,724.4,734.96,-0.0044,,,,,
 2018/09/10,732.9,739.22,713.43,720.75,-0.0166,,,,,
 2018/09/11,720.45,732.68,712.64,725.57,0.0071,,,,,
 2018/09/12,725.53,737.08,713.02,721.39,-0.0057,,,,,
 2018/09/13,728.13,736.77,717.43,730.4,0.0031,,,,,
 2018/09/14,730.15,734.72,712.73,718.76,-0.0156,,,,,
 2018/09/17,715.53,721.69,696.08,703.59,-0.0167,,,,,
 2018/09/18,701.64,722.35,699.21,720.25,0.0265,,,,,
 2018/09/19,720.19,736.54,715.36,728.08,0.011,,,,,
 2018/09/20,727.77,737.32,719.8,725.44,-0.0032,,,,,
 2018/09/21,729.27,738.94,720.11,735.69,0.0088,,,,,
 2018/09/25,730.42,736.26,723.25,729.81,-0.0008,,,,,
 2018/09/26,731.18,740.56,724.6,732.01,0.0011,,,,,
 2018/09/27,731.97,734.63,709.55,713.4,-0.0254,,,,,
 2018/09/28,714.25,728.62,709.57,725.13,0.0152,,,,,
 2018/10/08,712.61,718.49,691.99,700.05,-0.0176,,,,,
 2018/10/09,701.68,708.85,691.65,698.98,-0.0038,,,,,
 2018/10/10,699.79,706.41,687.25,698.23,-0.0022,,,,,
 2018/10/11,677.73,684.97,638.92,650.45,-0.0403,,,,,
 2018/10/12,642.48,664.05,619.71,649.73,0.0113,,,,,
 2018/10/15,648.58,660.27,630.35,641.14,-0.0115,,,,,
 2018/10/16,641.17,651.58,625.3,633.02,-0.0127,,,,,
 2018/10/17,641.1,653.52,629.42,646.42,0.0083,,,,,
 2018/10/18,643.58,653.29,624.71,634.3,-0.0144,,,,,
 2018/10/19,625.99,657.25,618.76,650.34,0.0389,,,,,
 2018/10/22,657.37,693.2,650.99,681.24,0.0363,,,,,
 2018/10/23,679.22,684.93,660.4,666.96,-0.0181,,,,,
 2018/10/24,665.29,679.7,657.01,665.75,0.0007,,,,,
 2018/10/25,645.49,667.46,636.9,662.13,0.0258,,,,,
 2018/10/26,666.55,678.01,656.35,662.98,-0.0054,,,,,
 2018/10/29,670.44,680.46,652.47,661.77,-0.0129,,,,,
 2018/10/30,660.56,679.75,646.91,670.26,0.0147,,,,,
 2018/10/31,671.02,685.58,665.76,675.32,0.0064,,,,,
 2018/11/01,681.88,704.35,675.44,685.17,0.0048,,,,,
 2018/11/02,697.52,714.52,691.04,709.28,0.0169,,,,,
 2018/11/05,711.91,722.55,693.78,706.36,-0.0078,,,,,
 2018/11/06,705.08,713.36,690.95,706.83,0.0025,,,,,
 2018/11/07,705.45,717.33,697.08,702.29,-0.0045,,,,,
 2018/11/08,707.2,713.36,687.65,692.79,-0.0204,,,,,
 2018/11/09,690.91,703.92,683.81,693.15,0.0032,,,,,
 2018/11/12,691.74,720.35,687.41,718.07,0.0381,,,,,
 2018/11/13,709.17,750.85,705.13,737.15,0.0395,,,,,
 2018/11/14,733.48,751.92,721.74,734.26,0.0011,,,,,
 2018/11/15,737.27,756.94,729.45,749.75,0.0169,,,,,
 2018/11/16,752.78,767.2,737.94,752.7,-0.0001,,,,,
 2018/11/19,749.07,757.41,728.94,745.72,-0.0045,,,,,
 2018/11/20,737.27,746.15,711.82,716.8,-0.0278,,,,,
 2018/11/21,709.77,725.39,699.62,718.17,0.0118,,,,,
 2018/11/22,719.86,728.4,708.26,716.31,-0.0049,,,,,
 2018/11/23,715.58,717.44,675.05,683.6,-0.0447,,,,,
 2018/11/26,684.01,695.16,673.57,681.78,-0.0033,,,,,
 2018/11/27,687.55,699.2,678.47,689.25,0.0025,,,,,
 2018/11/28,690.51,706.05,678.43,701.09,0.0153,,,,,
 2018/11/29,703.64,711.26,679.29,681.93,-0.0309,,,,,
 2018/11/30,679.99,692.23,669.7,687.59,0.0112,,,,,
 2018/12/03,705.96,716.23,695.86,705.99,0,,,,,
